pid,group,race_ethn,gender,age,geq,ibqh,tsc
1,1,5,1,19,4.05,19,48
2,1,5,1,19,2.2,0,9
3,1,5,1,19,2.7,12,23
4,1,5,1,19,3.55,16,16
5,1,5,1,18,2.95,24,10
6,1,5,1,19,1.45,18,12
7,1,6,1,19,3.5,7,49
8,1,5,1,18,1.6,10,7
9,1,2,2,20,2.1,15,36
10,1,2,1,18,1.75,5,24
11,1,5,1,19,1.4,3,41
12,1,5,1,18,3,5,49
13,1,5,1,18,2.75,16,40.83923725054631
14,1,5,1,18,2.95,23.90532703364685,10.355104974146974
15,1,5,2,18,2.2,8,22
16,1,5,1,19,1.85,3,5
17,1,5,1,20,2.65,3,20
18,1,2,2,20,2.2,2,52
19,1,5,1,23,2.6,23,25
20,1,5,1,23,4.15,22,48
21,1,5,1,21,2.05,11,6
22,1,5,1,20,2.05,13,48
23,1,2,1,20,1.45,6,16
24,1,2,1,20,1.15,26,1.42106105362544
25,1,2,1,23,1,0,8
26,1,5,1,19,1.65,10,4
27,1,6,2,19,1.45,0,6
28,1,5,1,23,2.35,10,20
29,1,5,2,18,3.25,11,10
30,1,5,1,18,1.6,12,18
31,1,5,2,21,1.7,11,33
32,1,2,1,21,1.85,2,26
33,1,5,1,19,1.85,13,16
34,1,5,1,23,1.6,13,12
35,1,6,1,19,2.4,9,42
36,1,5,1,20,1.35,13,24
37,1,5,2,20,1,0,2
38,1,5,1,19,1.95,4,7
39,1,5,1,18,1.35,0,13
40,1,5,1,19,2.95,9,19
41,1,5,1,19,3.45,29,49
42,1,5,1,18,2,0,22
43,1,5,1,18,1.6,21,29
44,1,5,1,18,1.05,8,26
45,1,5,2,19,2.05,5,18
46,1,5,2,18,2.881833628244895,18,46
47,1,6,1,18,4.2,20,53
48,1,5,1,22,3.85,22,35
49,1,5,1,19,2.4,20,16
50,1,2,1,19,1.4,0,5
51,1,5,1,20,3.3,17,50
52,1,5,2,20,1.35,6,6
53,1,2,1,22,1,0,15
54,1,5,1,19,3.6,24,35
55,1,5,1,19,1.9,4,23
56,1,2,1,18,1.9,1.360638475174033,27
57,1,2,2,20,3.55,16,26
58,1,6,1,21,1.85,24,20
59,1,5,1,22,3.1,17,52
60,1,5,1,19,1.85,27,38
61,1,6,2,23,3.55,18,48
62,1,5,1,18,2.3,13,25
63,1,5,2,21,3.05,4,8
64,1,5,1,22,2.4,36,41
66,1,5,1,18,4.45,19,42
67,1,5,1,20,1.8,16,28
68,1,5,3,23,3.95,24,44
