"","pid","group","race_ethn","gender","age","geq_1","geq_10","geq_11","geq_12","geq_13","geq_14","geq_15","geq_16","geq_17","geq_18","geq_19","geq_2","geq_20","geq_3","geq_4","geq_5","geq_6","geq_7","geq_8","geq_9","ibqh_1","ibqh_10","ibqh_11","ibqh_12","ibqh_2","ibqh_3","ibqh_4","ibqh_5","ibqh_6","ibqh_7","ibqh_8","ibqh_9","tsc_1","tsc_10","tsc_11","tsc_12","tsc_13","tsc_14","tsc_15","tsc_16","tsc_17","tsc_18","tsc_19","tsc_2","tsc_20","tsc_21","tsc_22","tsc_23","tsc_24","tsc_25","tsc_26","tsc_27","tsc_28","tsc_29","tsc_3","tsc_30","tsc_31","tsc_32","tsc_33","tsc_34","tsc_35","tsc_36","tsc_37","tsc_38","tsc_39","tsc_4","tsc_40","tsc_5","tsc_6","tsc_7","tsc_8","tsc_9"
"1",1,"1","5","1",19,4,5,5,5,4,4,5,4,4,4,4,4,4,4,5,4,3,1,4,4,2,1,1,1,1,1,2,2,2,2,2,2,2,1,0,2,0,3,2,3,2,0,1,3,1,0,2,0,1,3,1,0,1,0,2,0,2,0,1,2,0,0,1,1,1,3,0,0,2,1,3,1
"2",2,"1","5","1",19,3,3,3,3,3,3,1,1,1,1,2,4,1,4,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
"3",3,"1","5","1",19,4,4,3,4,3,2,1,1,3,1,2,4,1,4,4,4,4,2,2,1,2,0,2,1,1,0,0,0,0,3,3,0,3,1,1,0,0,2,0,2,0,0,3,1,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"4",4,"1","5","1",19,5,3,2,2,4,4,2,2,3,3,3,5,2,5,5,5,5,5,4,2,2,1,1,1,2,2,1,2,2,1,1,0,1,0,0,1,0,0,1,0,3,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"5",5,"1","5","1",18,4,2,3,3,3,3,3,3,2,5,4,3,4,3,3,3,2,2,1,3,3,1,1,2,3,2,2,2,2,2,3,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"6",6,"1","5","1",19,3,1,1,1,1,1,1,1,2,1,1,3,1,3,3,1,1,1,1,1,3,1,2,2,0,1,2,2,2,1,2,0,2,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"7",7,"1","6","1",19,5,3,2,1,3,3,3,3,3,3,3,5,3,5,5,5,3,4,4,4,0,0,0,0,0,2,1,1,1,1,1,0,3,3,0,0,0,0,2,2,1,2,1,1,3,3,2,1,1,1,2,0,1,0,2,1,2,1,1,1,2,0,1,0,1,3,0,0,0,0,2,3
"8",8,"1","5","1",18,2,2,2,1,3,3,1,1,2,1,4,1,1,2,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"9",9,"1","2","2",20,1,2,2,1,2,2,1,1,2,2,2,1,2,3,3,4,3,3,2,3,3,1,2,1,0,0,3,1,2,1,1,0,0,2,1,3,1,1,3,1,3,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,2,0,1,1,1,0,3,1,1,0
"10",10,"1","2","1",18,3,2,1,2,2,2,1,1,3,1,2,3,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,2,0,1,2,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,2,1
"11",11,"1","5","1",19,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,0,3,0,1,3,1,1,1,1,0,0,0,0,3,1,0,0,0,0,3,2,0,0,0,0,0,3,0,2,2,1,3,1
"12",12,"1","5","1",18,4,4,4,4,3,2,2,2,2,1,3,4,2,4,4,4,3,3,2,3,2,1,0,0,1,1,0,0,0,0,0,0,2,3,0,1,3,3,1,3,1,0,3,2,0,1,3,0,0,2,1,0,2,0,1,1,0,1,1,0,1,0,0,0,1,3,0,1,1,3,2,2
"13",13,"1","5","1",18,3,2,4,4,3,2,3,1,3,2,2,3,1,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,2,2,3,1,3,3,1,3,0,2,3,2,1,2,0,0,2,0,3,1,0.839237250546311,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,1,2,2,0,0
"14",14,"1","5","1",18,5,5,5,5,3,3,1,1,1,1,1,5,1,5,5,4,2,1,2,3,3,0,3,3,1,2,3,3,2.90532703364685,2,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0.355104974146973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"15",15,"1","5","2",18,2,2,1,2,2,2,1,1,2,1,2,2,1,4,4,4,3,2,3,3,1,1,0,0,1,1,0,1,1,1,1,0,2,0,3,1,0,1,1,0,1,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1
"16",16,"1","5","1",19,2,4,3,4,3,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17",17,"1","5","1",20,5,3,3,3,2,2,2,2,1,1,1,5,1,5,5,4,3,2,2,1,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,2,1,2,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"18",18,"1","2","2",20,2,4,3,3,3,1,1,1,1,1,1,2,1,3,2,3,3,3,4,2,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,2,1,3,1,1,2,1,3,3,0,0,3,2,1,1,0,0,1,0,1,0,1,2,1,2,1,0,1,0,1,3,1,1,2,2,2,1
"19",19,"1","5","1",23,3,3,3,3,2,2,1,3,2,4,5,2,5,3,3,3,1,2,1,1,3,1,0,2,1,1,3,3,3,2,2,2,2,0,1,1,0,0,1,0,3,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,1,1,1,0
"20",20,"1","5","1",23,5,3,2,3,4,3,3,4,2,5,5,5,4,5,5,5,5,5,5,5,2,2,3,3,1,1,2,2,2,1,1,2,1,0,0,3,3,2,2,1,2,2,3,3,0,1,3,0,1,1,0,0,3,1,0,0,1,0,2,2,1,1,3,0,0,0,0,0,3,0,3,0
"21",21,"1","5","1",21,3,1,1,1,3,3,2,2,1,1,2,2,1,3,3,3,3,3,1,2,2,0,0,0,1,0,3,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22",22,"1","5","1",20,3,2,2,3,3,3,2,2,1,1,1,3,1,3,3,2,1,1,1,3,2,0,0,0,2,2,2,1,1,1,2,0,3,2,0,2,0,1,3,1,2,0,3,1,1,1,2,2,0,1,0,0,0,2,0,0,0,0,3,2,1,0,3,0,0,3,0,2,2,1,1,3
"23",23,"1","2","1",20,1,1,3,1,1,3,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,0,1,0,0,0,3,0,0,0,0,0,1,2,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"24",24,"1","2","1",20,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,3,3,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42106105362544,0,0,0,0,0,0,0,0,1,0,0,0
"25",25,"1","2","1",23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"26",26,"1","5","1",19,3,2,2,2,2,2,1,1,1,1,1,2,1,3,2,2,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"27",27,"1","6","2",19,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,"1","5","1",23,4,3,2,2,1,1,1,1,1,2,2,4,2,3,3,4,2,3,4,2,2,0,0,1,2,2,1,1,0,0,1,0,1,2,0,0,0,1,0,0,2,0,1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3
"29",29,"1","5","2",18,1,4,5,3,5,5,1,2,5,2,1,1,4,5,5,3,5,5,1,2,3,0,0,0,1,1,2,1,1,2,0,0,2,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"30",30,"1","5","1",18,2,3,3,3,1,1,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,3,0
"31",31,"1","5","2",21,3,1,3,2,2,1,2,2,1,1,1,1,2,3,3,2,1,1,1,1,1,2,1,2,0,0,2,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,0,0,0,3,0,1,1,0,1,3,1,1,0,0,0,1,2,0,0,0,0,1,2,0,2,2,1,1,1
"32",32,"1","2","1",21,2,1,1,1,3,2,1,1,1,3,3,3,2,3,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,2,1,2,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1
"33",33,"1","5","1",19,3,2,2,1,1,2,1,1,1,1,1,3,1,3,3,2,2,2,1,4,2,2,0,0,1,1,1,2,2,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1
"34",34,"1","5","1",23,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
"35",35,"1","6","1",19,3,3,2,2,4,2,1,1,2,1,2,3,1,5,5,3,2,2,1,3,1,1,0,0,2,1,2,1,0,0,1,0,3,1,0,0,0,0,0,2,0,2,3,3,2,0,3,0,3,1,0,0,1,0,0,1,3,0,1,2,0,1,0,0,0,3,2,1,0,0,3,1
"36",36,"1","5","1",20,3,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,2,1,3,0,1,1,1,2,0,1,0,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1
"37",37,"1","5","2",20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",38,"1","5","1",19,2,2,2,2,3,3,3,3,1,2,2,2,1,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"39",39,"1","5","1",18,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1
"40",40,"1","5","1",19,2,4,4,5,4,3,4,4,3,4,3,3,3,3,3,2,1,2,1,1,1,1,1,1,0,0,1,1,1,2,0,0,2,1,0,1,0,1,1,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3
"41",41,"1","5","1",19,4,3,3,3,4,4,3,4,3,1,3,4,2,4,4,4,4,4,4,4,3,3,2,2,2,2,3,3,2,2,2,3,3,2,0,3,2,3,3,1,2,1,0,1,0,1,0,0,1,2,3,0,2,0,0,0,0,1,2,2,0,0,1,2,2,1,0,1,3,1,1,2
"42",42,"1","5","1",18,3,2,3,2,3,3,1,1,1,1,1,1,1,3,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,2,0,0,1,1,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,2,0
"43",43,"1","5","1",18,3,2,2,1,2,2,1,1,1,3,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,0,3,3,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,2,2,1,1
"44",44,"1","5","1",18,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,1,2,2,0,0,0,3,2,0,2,3,2,1,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0
"45",45,"1","5","2",19,3,1,3,2,3,3,1,1,1,1,1,3,1,4,4,5,1,1,1,1,0,2,0,0,0,0,0,3,0,0,0,0,1,2,2,1,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
"46",46,"1","5","2",18,2,3,5,3,4,5,3,1,2,1,1,3,1,4,4,4,3,4,2,2.6366725648979,2,2,2,2,0,0,2,0,2,2,3,1,2,1,3,1,2,3,2,1,2,0,2,0,1,0,0,0,1,2,2,0,1,2,2,0,0,0,0,1,2,0,3,2,0,0,2,1,0,2,3,0
"47",47,"1","6","1",18,5,5,5,5,4,4,3,4,3,2,4,5,4,5,5,5,4,4,3,5,2,2,2,1,3,0,2,2,1,1,3,1,3,1,2,2,1,3,3,1,1,3,3,0,1,0,3,3,1,2,3,0,2,1,0,0,3,0,1,1,1,1,1,0,0,1,1,0,2,1,1,0
"48",48,"1","5","1",22,5,5,5,5,4,4,4,4,4,3,2,4,2,5,5,4,4,4,3,1,2,1,1,2,2,2,2,1,2,3,3,1,2,2,0,0,1,1,1,1,0,0,2,2,1,0,2,1,0,0,0,0,3,1,0,0,0,3,1,1,0,0,1,0,2,3,0,0,0,0,3,1
"49",49,"1","5","1",19,4,2,2,2,3,3,3,3,3,3,3,3,2,3,3,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,0,0,1,0,0,1,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"50",50,"1","2","1",19,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"51",51,"1","5","1",20,3,4,4,4,5,4,1,2,5,3,3,2,2,3,3,4,4,2,4,4,2,3,1,2,3,2,1,1,1,0,1,0,2,3,1,2,3,3,3,2,1,1,2,3,3,0,2,0,1,3,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,1,3,2
"52",52,"1","5","2",20,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53",53,"1","2","1",22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
